game_id,timestamp,result,mode,planning,planning_params,army_a,army_b,round,player,unit,action,shoot_target,charge_target,value_before,value_after,value_delta,shadow_unit,shadow_action,shadow_reason,shadow_charge_target,shadow_shoot_target,shadow_value,diverged,shadow_dest,shadow_dest_shoot_target,shadow_pos_shoot_target
20260420_224831,2026-04-20T22:48:31.954052,win,objectives,True,"K=4,C=4,M=32,N=6","HoF_ml rank #16 (1975pts): heavy_jetbike, elemental_protectors, great_elemental, retributors, retributors, protectors, jetbike_protectors, shifters, shifters, elemental_strikers","HoF_ml #19 (1995pts): great_elemental, protectors_combined, shifters, retributors, scorchers_combined, gliders, jetbike_strikers, protectors, support_artillery, acolytes",1,A,Player A's Heavy Jetbike,advance,Player B's Gliders,,0.2533,0.2785,0.0253,Player A's Elemental Strikers,rush,model chose rush,,,0.0000,True,"16,15",Player B's Gliders,Player B's Gliders
20260420_224831,2026-04-20T22:48:31.954089,win,objectives,True,"K=4,C=4,M=32,N=6","HoF_ml rank #16 (1975pts): heavy_jetbike, elemental_protectors, great_elemental, retributors, retributors, protectors, jetbike_protectors, shifters, shifters, elemental_strikers","HoF_ml #19 (1995pts): great_elemental, protectors_combined, shifters, retributors, scorchers_combined, gliders, jetbike_strikers, protectors, support_artillery, acolytes",1,B,Player B's Jetbike Strikers,rush,,,-0.1447,-0.1558,-0.0111,,,,,,,False,,,
20260420_224831,2026-04-20T22:48:31.954110,win,objectives,True,"K=4,C=4,M=32,N=6","HoF_ml rank #16 (1975pts): heavy_jetbike, elemental_protectors, great_elemental, retributors, retributors, protectors, jetbike_protectors, shifters, shifters, elemental_strikers","HoF_ml #19 (1995pts): great_elemental, protectors_combined, shifters, retributors, scorchers_combined, gliders, jetbike_strikers, protectors, support_artillery, acolytes",1,A,Player A's Retributors 1,advance,,,0.2417,0.2549,0.0132,Player A's Elemental Strikers,rush,model chose rush,,,0.0000,True,"43,15",,
20260420_224831,2026-04-20T22:48:31.954152,win,objectives,True,"K=4,C=4,M=32,N=6","HoF_ml rank #16 (1975pts): heavy_jetbike, elemental_protectors, great_elemental, retributors, retributors, protectors, jetbike_protectors, shifters, shifters, elemental_strikers","HoF_ml #19 (1995pts): great_elemental, protectors_combined, shifters, retributors, scorchers_combined, gliders, jetbike_strikers, protectors, support_artillery, acolytes",1,B,Player B's Protectors,rush,,,-0.1670,-0.1578,0.0092,,,,,,,False,,,
20260420_224831,2026-04-20T22:48:31.954171,win,objectives,True,"K=4,C=4,M=32,N=6","HoF_ml rank #16 (1975pts): heavy_jetbike, elemental_protectors, great_elemental, retributors, retributors, protectors, jetbike_protectors, shifters, shifters, elemental_strikers","HoF_ml #19 (1995pts): great_elemental, protectors_combined, shifters, retributors, scorchers_combined, gliders, jetbike_strikers, protectors, support_artillery, acolytes",1,A,Player A's Elemental Strikers,rush,,,0.2035,0.2151,0.0116,Player A's Jetbike Protectors,rush,model chose rush,,,0.0000,True,"61,21",,
20260420_224831,2026-04-20T22:48:31.954206,win,objectives,True,"K=4,C=4,M=32,N=6","HoF_ml rank #16 (1975pts): heavy_jetbike, elemental_protectors, great_elemental, retributors, retributors, protectors, jetbike_protectors, shifters, shifters, elemental_strikers","HoF_ml #19 (1995pts): great_elemental, protectors_combined, shifters, retributors, scorchers_combined, gliders, jetbike_strikers, protectors, support_artillery, acolytes",1,B,Player B's Scorchers (Combined),rush,,,-0.1296,-0.1505,-0.0209,,,,,,,False,,,
20260420_224831,2026-04-20T22:48:31.954223,win,objectives,True,"K=4,C=4,M=32,N=6","HoF_ml rank #16 (1975pts): heavy_jetbike, elemental_protectors, great_elemental, retributors, retributors, protectors, jetbike_protectors, shifters, shifters, elemental_strikers","HoF_ml #19 (1995pts): great_elemental, protectors_combined, shifters, retributors, scorchers_combined, gliders, jetbike_strikers, protectors, support_artillery, acolytes",1,A,Player A's Retributors 2,advance,,,0.2642,0.2486,-0.0156,Player A's Jetbike Protectors,rush,model chose rush,,,0.0000,True,"31,9",,
20260420_224831,2026-04-20T22:48:31.954241,win,objectives,True,"K=4,C=4,M=32,N=6","HoF_ml rank #16 (1975pts): heavy_jetbike, elemental_protectors, great_elemental, retributors, retributors, protectors, jetbike_protectors, shifters, shifters, elemental_strikers","HoF_ml #19 (1995pts): great_elemental, protectors_combined, shifters, retributors, scorchers_combined, gliders, jetbike_strikers, protectors, support_artillery, acolytes",1,B,Player B's Gliders,advance,,,-0.1478,-0.0624,0.0854,,,,,,,False,,,
20260420_224831,2026-04-20T22:48:31.954279,win,objectives,True,"K=4,C=4,M=32,N=6","HoF_ml rank #16 (1975pts): heavy_jetbike, elemental_protectors, great_elemental, retributors, retributors, protectors, jetbike_protectors, shifters, shifters, elemental_strikers","HoF_ml #19 (1995pts): great_elemental, protectors_combined, shifters, retributors, scorchers_combined, gliders, jetbike_strikers, protectors, support_artillery, acolytes",1,A,Player A's Jetbike Protectors,advance,,,0.1452,0.2262,0.0810,Player A's Jetbike Protectors,rush,model chose rush,,,0.0000,True,"46,20",,
20260420_224831,2026-04-20T22:48:31.954299,win,objectives,True,"K=4,C=4,M=32,N=6","HoF_ml rank #16 (1975pts): heavy_jetbike, elemental_protectors, great_elemental, retributors, retributors, protectors, jetbike_protectors, shifters, shifters, elemental_strikers","HoF_ml #19 (1995pts): great_elemental, protectors_combined, shifters, retributors, scorchers_combined, gliders, jetbike_strikers, protectors, support_artillery, acolytes",1,B,Player B's Acolytes,rush,,,-0.1297,-0.0939,0.0358,,,,,,,False,,,
20260420_224831,2026-04-20T22:48:31.954332,win,objectives,True,"K=4,C=4,M=32,N=6","HoF_ml rank #16 (1975pts): heavy_jetbike, elemental_protectors, great_elemental, retributors, retributors, protectors, jetbike_protectors, shifters, shifters, elemental_strikers","HoF_ml #19 (1995pts): great_elemental, protectors_combined, shifters, retributors, scorchers_combined, gliders, jetbike_strikers, protectors, support_artillery, acolytes",1,A,Player A's Protectors,rush,,,0.1283,0.2017,0.0734,Player A's Protectors,rush,model chose rush,,,0.0000,False,"36,5",,
20260420_224831,2026-04-20T22:48:31.954350,win,objectives,True,"K=4,C=4,M=32,N=6","HoF_ml rank #16 (1975pts): heavy_jetbike, elemental_protectors, great_elemental, retributors, retributors, protectors, jetbike_protectors, shifters, shifters, elemental_strikers","HoF_ml #19 (1995pts): great_elemental, protectors_combined, shifters, retributors, scorchers_combined, gliders, jetbike_strikers, protectors, support_artillery, acolytes",1,B,Player B's Great Elemental,rush,,,-0.1446,-0.2254,-0.0807,,,,,,,False,,,
20260420_224831,2026-04-20T22:48:31.954367,win,objectives,True,"K=4,C=4,M=32,N=6","HoF_ml rank #16 (1975pts): heavy_jetbike, elemental_protectors, great_elemental, retributors, retributors, protectors, jetbike_protectors, shifters, shifters, elemental_strikers","HoF_ml #19 (1995pts): great_elemental, protectors_combined, shifters, retributors, scorchers_combined, gliders, jetbike_strikers, protectors, support_artillery, acolytes",1,A,Player A's Great Elemental,rush,,,0.2654,0.2969,0.0315,Player A's Shifters 1,advance,model chose advance,,Player B's Great Elemental,0.0000,True,"30,16",,
